ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;;;;;;
1456;A1: x A2: ;A1:  A2: x;;x;;;;;x;Sie sehen sie fahren \n Sie hassen das;Sie sehen sie fahren \n sie hassen;x;;;;;;
1765;;;;;;;;x;;Nachdem ein Mädchen gestorben ist, welches Organ in ihrem Körper bleibt warm? \n Mein Schwanz;Nachdem ein Mädel stirbt, welches Organ in Ihrem Körper bleibt warm? \n Mein Schwanz;A1:  A2: x;;;;;;
4857;;;;x;;;;A1:  A2: x;A1: x A2: ;…selbst die dummen Juden wissen das! \n Trump ist ein Rassist;... sogar die dummen Juden wissen das! \n Trump ist ein Rassist ..;;;;;;;
9563;A1: x A2: ;;;x;;;;;x;Safe Sex \n ISIS-Style;Safer Sex \n Isis Style;x;;;;;;
10285;;;;;;;;;x;Du bist was du isst \n Währenddessen in Afrika;Du bist was du isst \n Derweil in Afrika;;;;;;;
10386;;;;A1: x A2: ;;;;;x;Das Buch über Terrorismus;Das Buch über Terrorismus;x;;;;;;
16809;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;;;x;;Hitler ist nie selbst gefahren;Hitler war nie selbst Fahrzeugführer;A1:  A2: x;;;;;;
16923;A1:  A2: x;;;x;;;;;x;Magst du Ziegenanus? \n Riech an meinem Finger ;Gefällt dir Ziegenanus? \n Riech an meinem Finger;x;;;;;;
17320;;;;;A1: x A2: ;;;x;;Hat jemand Gas gesagt?;Hat jemand Gas gesagt?;;;;;;;
18356;;;;;A1: x A2: ;;x;;;Ich habe geduscht \n heute morgen;Ich habe heute morgen eine Dusche genommen;;;;;;;
18945;A1:  A2: x;;;x;;;;;x;Wenn du entscheidest Vollgas zugeben;Wenn du dich entscheidest voll Gas zu geben;x;;;;;;
19536;A1:  A2: x;;;x;;;;;x;Wenn dein jüdischer Freund \n einen Haufen Münzen in der Öffentlichkeit riecht;Wenn deine jüdische Freundin \n einen Stapel Münzen in der Öffentlichkeit riecht;A1: x A2: ;;;;;;
26530;;;;A1:  A2: x;A1: x A2: ;;;x;;Hitler war ein böser Mann \n durch und durch;Hitler war ein böser Mann \n durch und durch;;;;;;;
27195;;;;;;;;;x;Es gibt einen Grund weshalb das Bier \n unten im Kühlschrank steht;Es gibt einen Grund, \n warum wir das Bier \n unten \n im Kühlfach lagern;;;;;;;
27498;A1:  A2: x;;;A1:  A2: x;;;;;x;Wer wird die Brote schmieren? \n Was sollen wir mit all den Broten machen?;Wer macht die Sandwiches \n Was machen wir mit all den Sandwiches?;A1: x A2: ;;;;;;
27614;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;;Vielleicht wenn du denkst bevor du handelst \n würdest du besser behandelt werden;Wenn du denken würdest \n bevor du handelst \n würde man dich vielleicht \n besser behandeln;;;;;;;
28017;;;;;;;;;x;Sag es! Sag es! \n Der Islam ist die Religion des Friedens;Sag es! Sag es! \n Islam ist die Religion des Friedens;x;;;;;;
28406;;;;;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;Wenn sie dir \n den Blick zuwirft;Wenn sie dich \n so ansieht;;;;;;;
28690;;;A1: x A2: ;A1:  A2: x;A1: x A2: ;;x;;;Wenn du über jemanden lästerst…\n solltest du besser sicher sein, dass derjenige nicht verrückter als du ist;Wenn du \n schlecht über jemanden redest \n versichere dich \n dass sie nicht verrückter sind als du;;;;;;;
28951;;A1:  A2: x;A1:  A2: x;;;;x;;;Wenn der Rand deiner Kappe flach ist und einen Sticker hat \n Gehe ich automatisch davon aus, dass du ein Idiot bist;Wenn deine Cappie-Krempe flach ist \n und einen Sticker drauf hat \n nehme ich automatisch an, \n dass du ein Loser bist;;;;;;;
29067;;;A1: x A2: ;;A1:  A2: x;;;;A1: x A2: ;Den Geschirrspüler mit dem Sofa blockieren \n Hervorragender Schachzug;Die Couch mit der Spülmaschine blockieren \n hervorragender Move;;;;;;;
29174;;;;A1:  A2: x;;;;;A1: x A2: ;Die Verbrechen gegen die Menschlichkeit \n sollen nicht schnell vergessen werden;Die Verbrechen gegen die Menschheit \n sollten nicht schnell vergessen werden;;;;;;;
29750;;;;;;;;;x;Diese Katze \n wird heute Abend vergewaltigt;Diese Katze \n wird heute vergewaltigt;x;;;;;;
31208;;;;A1:  A2: x;;;;;x;Vielleicht wenn wir nicht ständig Verbrechen begehen würden \n würden wir besser behandelt werden;Wenn wir nicht eine permanente \n Kriminalitätsquelle wären \n würde man uns besser behandeln;x;;;;;;
31570;;;;x;;;;;x;Beschäftigt, wie ein Bienenstock, kontrollieren was deine Familie sieht und bearbeiten alle Nachrichten \n bis die ganze Wahrheit verschwunden ist, außer ihr erhebt euch, in großer Zahl;Fleißig, wie ein Bienenstock, kontrollierend was \n deine Familie sieht und alle Nachrichten bearbeitend \n bis alle Wahrheit weg ist \n das heißt, solange du stehst. En Masse.;x;;;;;;
32579;;;;x;;;;x;;Kommt zur dunklen Seite \n wir haben Gras;Komm auf die dunkle Seite \n Wir haben Gras;;;;;;;
34209;x;;;x;;;;;x;Barkeeper: Wie wäre es mit einem zwölfjährigen? \n Er: Junge, das würde ich lieben;Bartender: Wie wär's mit dem schönen 12-jährigen? \n Er: Junge, das würde mir gefallen;x;;;;;;
35174;;;;;;;;x;;Lass uns Wilderei beenden;Lasst uns die Wilderei stoppen;;;;;;;
38076;A1: x A2: ;;;A1:  A2: x;;;;;A1: x A2: ;"""Er ist ein Squirter"" \n klingt nicht mehr ganz so sexy wenn du schwul bist";"""Er ist ein Squirter"" \n klingt nicht so sexy wenn du schwul bist";;;;;;;
38165;;;;A1: x A2: ;;;;A1:  A2: x;A1: x A2: ;Schwarze Demonstranten helfen einem verletzen Weißem Mann \n während einer BLM Demo;Schwarzer Demonstrant hilft einem verletzten weißen Mann \n während einer BLM Demo;;;;;;;
38910;;;;x;;;;x;;Oh Junge ich liebe es Muslim zu sein \n in der Stadt Christchurch in Neuseeland \n am 15. März;Oh Junge, ich find's sicher toll Moslem zu sein \n in der neuseeländischen Stadt Christchurch \n am 15. März;x;;;;;;
43175;;;;A1:  A2: x;;;;;x;Wann hast du zuletzt so viele \n geistig kranke Menschen auf der Straße gesehen?;Wann hast du das letzte Mal so viele \n psychisch kranke Menschen auf der Straße gesehen;x;;;;;;
45062;;;;x;;;;A1: x A2: ;A1:  A2: x;Ich und meine Kinder \n werden dieses Land ausrauben auf Kosten der Menschen die mich gewählt haben. Und sie werden es lieben! Glaub mir! Großartig!;Ich und meine Kinder \n werden dieses Land völlig ausnehmen auf Kosten derer, die mich gewählt haben und sie werden es lieben! Voll!;;;;;;;
45368;;;;x;;;;;x;Genug ist genug \n Kinder sind wichtiger als Freaks;Genug ist genug \n Kinder sind wichtiger als Missgeburten;x;;;;;;
45702;;;;;;;;x;;Wenn sie immer noch Geräusche macht \n hast du sie nicht hart genug geschlagen;Wenn sie immer noch Laute von sich gibt, \n hast du nicht hart genug zugeschlagen;x;;;;;;
46087;;;;x;;;;;x;Gib diesem Mann \n einen Selbstmord;Gebt diesem Mann einen Selbstmord;;;;;;;
47056;;;;;;;;A1:  A2: x;A1: x A2: ;Illegale Aliens sind nicht willkommen;Illegale Ausländer sind nicht willkommen;A1: x A2: ;;;;;;
