ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;Discard;;;
1456;A1: x A2: ;A1:  A2: x;;x;;;;;x;Sie sehen sie fahren \n Sie hassen das;Sie sehen sie fahren \n sie hassen;x;A1:  A2: x;;;
1765;;;;;;;;x;;Nachdem ein Mädchen gestorben ist, welches Organ in ihrem Körper bleibt warm? \n Mein Schwanz;Nachdem ein Mädel stirbt, welches Organ in Ihrem Körper bleibt warm? \n Mein Schwanz;A1:  A2: x;;;;
1768;;;A1: x A2: ;;x;;;x;;Wenn du so glücklich bist mit der Familie zu sein ;Wenn du so glücklich bist mit der Familie;;A1: x A2: ;;;
1796;;x;;x;;;;;x;life hack #23 \n Wie man gesteinigt werden kann ohne Gras;life hack #23 \n wie man gesteinigt wird ganz ohne Gras;x;x;;;
3745;;;A1:  A2: x;;;;;x;;Deine Bestellung kostet 37,5$ \n und dein White privilege Rabatt reduziert die Summe auf 37,5$;Deine Bestellung kommt auf 37,50$ \n und dein White-Privilege-Discount \n bringt es auf 37,50$;;x;;;
4857;;;;x;;;;A1:  A2: x;A1: x A2: ;…selbst die dummen Juden wissen das! \n Trump ist ein Rassist;... sogar die dummen Juden wissen das! \n Trump ist ein Rassist ..;;;;;
6352;;;A1: x A2: ;;x;;;x;;und dann fragte ich Mama \n können wir spielen gehen?;und dann fragte ich Mama \n können wir spielen gehen?;;;;;
9563;A1: x A2: ;;;x;;;;;x;Safe Sex \n ISIS-Style;Safer Sex \n Isis Style;x;;;;
10285;;;;;;;;;x;Du bist was du isst \n Währenddessen in Afrika;Du bist was du isst \n Derweil in Afrika;;;;;
10386;;;;A1: x A2: ;;;;;x;Das Buch über Terrorismus;Das Buch über Terrorismus;x;;;;
16809;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;;;x;;Hitler ist nie selbst gefahren;Hitler war nie selbst Fahrzeugführer;A1:  A2: x;;;;
16923;A1:  A2: x;;;x;;;;;x;Magst du Ziegenanus? \n Riech an meinem Finger ;Gefällt dir Ziegenanus? \n Riech an meinem Finger;x;;;;
17246;;;x;A1:  A2: x;A1: x A2: ;;A1: x A2: ;;A1:  A2: x;Dein Post wird einem Hate Review unterzogen und es sieht nicht gut aus;Dein Post geht durch den Hate Review und es sieht nicht gut aus;;;;;
17320;;;;;A1: x A2: ;;;x;;Hat jemand Gas gesagt?;Hat jemand Gas gesagt?;;;;;
18356;;;;;A1: x A2: ;;x;;;Ich habe geduscht \n heute morgen;Ich habe heute morgen eine Dusche genommen;;;;;
18945;A1:  A2: x;;;x;;;;;x;Wenn du entscheidest Vollgas zugeben;Wenn du dich entscheidest voll Gas zu geben;x;;;;
19536;A1:  A2: x;;;x;;;;;x;Wenn dein jüdischer Freund \n einen Haufen Münzen in der Öffentlichkeit riecht;Wenn deine jüdische Freundin \n einen Stapel Münzen in der Öffentlichkeit riecht;A1: x A2: ;;;;
26530;;;;A1:  A2: x;A1: x A2: ;;;x;;Hitler war ein böser Mann \n durch und durch;Hitler war ein böser Mann \n durch und durch;;;;;
27195;;;;;;;;;x;Es gibt einen Grund weshalb das Bier \n unten im Kühlschrank steht;Es gibt einen Grund, \n warum wir das Bier \n unten \n im Kühlfach lagern;;;;;
27498;A1:  A2: x;;;A1:  A2: x;;;;;x;Wer wird die Brote schmieren? \n Was sollen wir mit all den Broten machen?;Wer macht die Sandwiches \n Was machen wir mit all den Sandwiches?;A1: x A2: ;;;;
27614;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;;Vielleicht wenn du denkst bevor du handelst \n würdest du besser behandelt werden;Wenn du denken würdest \n bevor du handelst \n würde man dich vielleicht \n besser behandeln;;;;;
